"sample.group"	"dataseries"	"ASF_lims_id"	"sample_id"	"sex"	"genotype"	"time"	"sampleID"	"sample.id"	"original.sample.id"	"f_gender"	"f_genotype"	"f_timepoint"	"f_sex"	"LRT_Gender"	"LRT_Genotype"	"LRT_Timepoint"	"comp_1"	"comp_2"	"comp_3"	"comp_4"	"comp_5"	"comp_6"	"dataseries_color"	"NGS"	"f_replicate"	"sample.group_color"
"WT_FemaleED07"	"WT"	"TAY854A1"	"WT_Female_1"	"ZW"	"WT"	"ED07"	"TAY854A1"	"WT_FemaleED07_1"	"WT_Female_1"	"ZW"	"WT"	7	"ZW"	"ZW"	"WT"	"ED07"	"2_FemWtED07"	""	""	""	""	""	"#E1640E"	"WT_FemaleED07_1_R1.fastq.gz"	"R1"	"#00A9FF"
"WT_FemaleED07"	"WT"	"TAY854A2"	"WT_Female_2"	"ZW"	"WT"	"ED07"	"TAY854A2"	"WT_FemaleED07_2"	"WT_Female_2"	"ZW"	"WT"	7	"ZW"	"ZW"	"WT"	"ED07"	"2_FemWtED07"	""	""	""	""	""	"#E1640E"	"WT_FemaleED07_2_R1.fastq.gz"	"R2"	"#00A9FF"
"WT_FemaleED07"	"WT"	"TAY854A3"	"WT_Female_3"	"ZW"	"WT"	"ED07"	"TAY854A3"	"WT_FemaleED07_3"	"WT_Female_3"	"ZW"	"WT"	7	"ZW"	"ZW"	"WT"	"ED07"	"2_FemWtED07"	""	""	""	""	""	"#E1640E"	"WT_FemaleED07_3_R1.fastq.gz"	"R3"	"#00A9FF"
"WT_FemaleED07"	"WT"	"TAY854A4"	"WT_Female_4"	"ZW"	"WT"	"ED07"	"TAY854A4"	"WT_FemaleED07_4"	"WT_Female_4"	"ZW"	"WT"	7	"ZW"	"ZW"	"WT"	"ED07"	"2_FemWtED07"	""	""	""	""	""	"#E1640E"	"WT_FemaleED07_4_R1.fastq.gz"	"R4"	"#00A9FF"
"WT_FemaleED07"	"WT"	"TAY854A5"	"WT_Female_5"	"ZW"	"WT"	"ED07"	"TAY854A5"	"WT_FemaleED07_5"	"WT_Female_5"	"ZW"	"WT"	7	"ZW"	"ZW"	"WT"	"ED07"	"2_FemWtED07"	""	""	""	""	""	"#E1640E"	"WT_FemaleED07_5_R1.fastq.gz"	"R5"	"#00A9FF"
"WT_FemaleED10"	"WT"	"TAY1120A11"	"WTF_1"	"ZW"	"WT"	"ED10"	"TAY1120A11"	"WT_FemaleED10_1"	"WTF_1"	"ZW"	"WT"	10	"ZW"	"ZW"	"WT"	"ED10"	""	""	"2_FemWtED10"	""	""	""	"#E1640E"	"WT_FemaleED10_1_R1.fastq.gz"	"R1"	"#8494FF"
"WT_FemaleED10"	"WT"	"TAY1120A12"	"WTF_2"	"ZW"	"WT"	"ED10"	"TAY1120A12"	"WT_FemaleED10_2"	"WTF_2"	"ZW"	"WT"	10	"ZW"	"ZW"	"WT"	"ED10"	""	""	"2_FemWtED10"	""	""	""	"#E1640E"	"WT_FemaleED10_2_R1.fastq.gz"	"R2"	"#8494FF"
"WT_FemaleED10"	"WT"	"TAY1120A13"	"WTF_3"	"ZW"	"WT"	"ED10"	"TAY1120A13"	"WT_FemaleED10_3"	"WTF_3"	"ZW"	"WT"	10	"ZW"	"ZW"	"WT"	"ED10"	""	""	"2_FemWtED10"	""	""	""	"#E1640E"	"WT_FemaleED10_3_R1.fastq.gz"	"R3"	"#8494FF"
"WT_FemaleED10"	"WT"	"TAY1120A14"	"WTF_4"	"ZW"	"WT"	"ED10"	"TAY1120A14"	"WT_FemaleED10_4"	"WTF_4"	"ZW"	"WT"	10	"ZW"	"ZW"	"WT"	"ED10"	""	""	"2_FemWtED10"	""	""	""	"#E1640E"	"WT_FemaleED10_4_R1.fastq.gz"	"R4"	"#8494FF"
"WT_FemaleED10"	"WT"	"TAY1120A15"	"WTF_5"	"ZW"	"WT"	"ED10"	"TAY1120A15"	"WT_FemaleED10_5"	"WTF_5"	"ZW"	"WT"	10	"ZW"	"ZW"	"WT"	"ED10"	""	""	"2_FemWtED10"	""	""	""	"#E1640E"	"WT_FemaleED10_5_R1.fastq.gz"	"R5"	"#8494FF"
"WT_FemaleED14"	"WT"	"TAY3701A1"	"ZW_WT_1"	"ZW"	"WT"	"ED14"	"TAY3701A1"	"WT_FemaleED14_1"	"ZW_WT_1"	"ZW"	"WT"	14	"ZW"	"ZW"	"WT"	"ED14"	""	""	""	""	"2_FemWtED14"	""	"#E1640E"	"WT_FemaleED14_1_R1.fastq.gz"	"R1"	"#FF61CC"
"WT_FemaleED14"	"WT"	"TAY3701A16"	"ZW_WT_4"	"ZW"	"WT"	"ED14"	"TAY3701A16"	"WT_FemaleED14_4"	"ZW_WT_4"	"ZW"	"WT"	14	"ZW"	"ZW"	"WT"	"ED14"	""	""	""	""	"2_FemWtED14"	""	"#E1640E"	"WT_FemaleED14_4_R1.fastq.gz"	"R4"	"#FF61CC"
"WT_FemaleED14"	"WT"	"TAY3701A17"	"ZW_WT_5"	"ZW"	"WT"	"ED14"	"TAY3701A17"	"WT_FemaleED14_5"	"ZW_WT_5"	"ZW"	"WT"	14	"ZW"	"ZW"	"WT"	"ED14"	""	""	""	""	"2_FemWtED14"	""	"#E1640E"	"WT_FemaleED14_5_R1.fastq.gz"	"R5"	"#FF61CC"
"HET_FemaleED07"	"HET"	"TAY854A6"	"HET_Female_1"	"ZW"	"HET"	"ED07"	"TAY854A6"	"HET_FemaleED07_1"	"HET_Female_1"	"ZW"	"HET"	7	"ZW"	"ZW"	"HET"	"ED07"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED07_1_R1.fastq.gz"	"R1"	"#F8766D"
"HET_FemaleED07"	"HET"	"TAY854A7"	"HET_Female_2"	"ZW"	"HET"	"ED07"	"TAY854A7"	"HET_FemaleED07_2"	"HET_Female_2"	"ZW"	"HET"	7	"ZW"	"ZW"	"HET"	"ED07"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED07_2_R1.fastq.gz"	"R2"	"#F8766D"
"HET_FemaleED07"	"HET"	"TAY854A8"	"HET_Female_3"	"ZW"	"HET"	"ED07"	"TAY854A8"	"HET_FemaleED07_3"	"HET_Female_3"	"ZW"	"HET"	7	"ZW"	"ZW"	"HET"	"ED07"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED07_3_R1.fastq.gz"	"R3"	"#F8766D"
"HET_FemaleED07"	"HET"	"TAY854A9"	"HET_Female_4"	"ZW"	"HET"	"ED07"	"TAY854A9"	"HET_FemaleED07_4"	"HET_Female_4"	"ZW"	"HET"	7	"ZW"	"ZW"	"HET"	"ED07"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED07_4_R1.fastq.gz"	"R4"	"#F8766D"
"HET_FemaleED10"	"HET"	"TAY1120A1"	"HETF_1"	"ZW"	"HET"	"ED10"	"TAY1120A1"	"HET_FemaleED10_1"	"HETF_1"	"ZW"	"HET"	10	"ZW"	"ZW"	"HET"	"ED10"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED10_1_R1.fastq.gz"	"R1"	"#CD9600"
"HET_FemaleED10"	"HET"	"TAY1120A2"	"HETF_2"	"ZW"	"HET"	"ED10"	"TAY1120A2"	"HET_FemaleED10_2"	"HETF_2"	"ZW"	"HET"	10	"ZW"	"ZW"	"HET"	"ED10"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED10_2_R1.fastq.gz"	"R2"	"#CD9600"
"HET_FemaleED10"	"HET"	"TAY1120A3"	"HETF_3"	"ZW"	"HET"	"ED10"	"TAY1120A3"	"HET_FemaleED10_3"	"HETF_3"	"ZW"	"HET"	10	"ZW"	"ZW"	"HET"	"ED10"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED10_3_R1.fastq.gz"	"R3"	"#CD9600"
"HET_FemaleED10"	"HET"	"TAY1120A4"	"HETF_4"	"ZW"	"HET"	"ED10"	"TAY1120A4"	"HET_FemaleED10_4"	"HETF_4"	"ZW"	"HET"	10	"ZW"	"ZW"	"HET"	"ED10"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED10_4_R1.fastq.gz"	"R4"	"#CD9600"
"HET_FemaleED10"	"HET"	"TAY1120A5"	"HETF_5"	"ZW"	"HET"	"ED10"	"TAY1120A5"	"HET_FemaleED10_5"	"HETF_5"	"ZW"	"HET"	10	"ZW"	"ZW"	"HET"	"ED10"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED10_5_R1.fastq.gz"	"R5"	"#CD9600"
"HET_FemaleED14"	"HET"	"TAY3701A4"	"ZW_HET_1"	"ZW"	"HET"	"ED14"	"TAY3701A4"	"HET_FemaleED14_1"	"ZW_HET_1"	"ZW"	"HET"	14	"ZW"	"ZW"	"HET"	"ED14"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED14_1_R1.fastq.gz"	"R1"	"#E68613"
"HET_FemaleED14"	"HET"	"TAY3701A5"	"ZW_HET_2"	"ZW"	"HET"	"ED14"	"TAY3701A5"	"HET_FemaleED14_2"	"ZW_HET_2"	"ZW"	"HET"	14	"ZW"	"ZW"	"HET"	"ED14"	""	""	""	""	""	""	"#FFFFE5"	"HET_FemaleED14_2_R1.fastq.gz"	"R2"	"#E68613"
