comparison	comparisonID	test	type	model	reducedModel	normalizeAllSamplesTogether	betaPrior
NC_vs_WD	comp_1	Wald	DGE	~ f_Age + condition + f_Age:condition		FALSE	FALSE
A12_vs_A25	comp_2	Wald	DGE	~ condition		FALSE	TRUE
A12_vs_A50	comp_3	Wald	DGE	~ condition		FALSE	TRUE
A25_vs_A50	comp_4	Wald	DGE	~ condition		FALSE	TRUE
NC_A12_vs_WD_A12	comp_5	Wald	DGE	~ condition		FALSE	TRUE
NC_A25_vs_WD_A25	comp_6	Wald	DGE	~ condition		FALSE	TRUE
NC_A50_vs_WD_A50	comp_7	Wald	DGE	~ condition		FALSE	TRUE
NC_A12_vs_NC_A25	comp_8	Wald	DGE	~ condition		FALSE	TRUE
NC_A12_vs_NC_A50	comp_9	Wald	DGE	~ condition		FALSE	TRUE
NC_A25_vs_NC_A50	comp_10	Wald	DGE	~ condition		FALSE	TRUE
WD_A12_vs_WD_A25	comp_11	Wald	DGE	~ condition		FALSE	TRUE
WD_A12_vs_WD_A50	comp_12	Wald	DGE	~ condition		FALSE	TRUE
WD_A25_vs_WD_A50	comp_13	Wald	DGE	~ condition		FALSE	TRUE
LRT_Age	LRT_Age	LRT	LRT	~ condition	~1	FALSE	
LRT_Group	LRT_Group	LRT	LRT	~ condition	~1	FALSE	
LRT_Diet	LRT_Diet	LRT	LRT	~ condition	~1	FALSE	
