sample.group	dataseries	sample.id	dataseries_color	sample.group_color	timepoint
Ctrl_0h	Ctrl	Ctrl_0h_1	#FF0000	#F8766D	0
Ctrl_0h	Ctrl	Ctrl_0h_2	#FF0000	#F8766D	0
Ctrl_0h	Ctrl	Ctrl_0h_3	#FF0000	#F8766D	0
Ctrl_24h	Ctrl	Ctrl_24h_2	#FF0000	#EA8331	24
Ctrl_24h	Ctrl	Ctrl_24h_1	#FF0000	#EA8331	24
Ctrl_24h	Ctrl	Ctrl_24h_3	#FF0000	#EA8331	24
Ctrl_2h	Ctrl	Ctrl_2h_3	#FF0000	#D89000	2
Ctrl_2h	Ctrl	Ctrl_2h_1	#FF0000	#D89000	2
Ctrl_2h	Ctrl	Ctrl_2h_2	#FF0000	#D89000	2
Ctrl_6h	Ctrl	Ctrl_6h_2	#FF0000	#C09B00	6
Ctrl_6h	Ctrl	Ctrl_6h_1	#FF0000	#C09B00	6
Ctrl_6h	Ctrl	Ctrl_6h_3	#FF0000	#C09B00	6
HighFatDiet_0h	HighFatDiet	HighFatDiet_0h_1	#CCFF00	#A3A500	0
HighFatDiet_0h	HighFatDiet	HighFatDiet_0h_3	#CCFF00	#A3A500	0
HighFatDiet_0h	HighFatDiet	HighFatDiet_0h_2	#CCFF00	#A3A500	0
HighFatDiet_24h	HighFatDiet	HighFatDiet_24h_1	#CCFF00	#7CAE00	24
HighFatDiet_24h	HighFatDiet	HighFatDiet_24h_3	#CCFF00	#7CAE00	24
HighFatDiet_24h	HighFatDiet	HighFatDiet_24h_2	#CCFF00	#7CAE00	24
HighFatDiet_2h	HighFatDiet	HighFatDiet_2h_2	#CCFF00	#39B600	2
HighFatDiet_2h	HighFatDiet	HighFatDiet_2h_3	#CCFF00	#39B600	2
HighFatDiet_2h	HighFatDiet	HighFatDiet_2h_1	#CCFF00	#39B600	2
HighFatDiet_6h	HighFatDiet	HighFatDiet_6h_1	#CCFF00	#00BB4E	6
HighFatDiet_6h	HighFatDiet	HighFatDiet_6h_2	#CCFF00	#00BB4E	6
HighFatDiet_6h	HighFatDiet	HighFatDiet_6h_3	#CCFF00	#00BB4E	6
Hypoxia_0h	Hypoxia	Hypoxia_0h_1	#00FF66	#00BF7D	0
Hypoxia_0h	Hypoxia	Hypoxia_0h_2	#00FF66	#00BF7D	0
Hypoxia_0h	Hypoxia	Hypoxia_0h_3	#00FF66	#00BF7D	0
Hypoxia_24h	Hypoxia	Hypoxia_24h_1	#00FF66	#00C1A3	24
Hypoxia_24h	Hypoxia	Hypoxia_24h_2	#00FF66	#00C1A3	24
Hypoxia_24h	Hypoxia	Hypoxia_24h_3	#00FF66	#00C1A3	24
Hypoxia_2h	Hypoxia	Hypoxia_2h_3	#00FF66	#00BFC4	2
Hypoxia_2h	Hypoxia	Hypoxia_2h_2	#00FF66	#00BFC4	2
Hypoxia_2h	Hypoxia	Hypoxia_2h_1	#00FF66	#00BFC4	2
Hypoxia_6h	Hypoxia	Hypoxia_6h_3	#00FF66	#00BAE0	6
Hypoxia_6h	Hypoxia	Hypoxia_6h_1	#00FF66	#00BAE0	6
Hypoxia_6h	Hypoxia	Hypoxia_6h_2	#00FF66	#00BAE0	6
Irradiation_0h	Irradiation	Irradiation_0h_3	#0066FF	#00B0F6	0
Irradiation_0h	Irradiation	Irradiation_0h_2	#0066FF	#00B0F6	0
Irradiation_0h	Irradiation	Irradiation_0h_1	#0066FF	#00B0F6	0
Irradiation_24h	Irradiation	Irradiation_24h_1	#0066FF	#35A2FF	24
Irradiation_24h	Irradiation	Irradiation_24h_2	#0066FF	#35A2FF	24
Irradiation_24h	Irradiation	Irradiation_24h_3	#0066FF	#35A2FF	24
Irradiation_2h	Irradiation	Irradiation_2h_3	#0066FF	#9590FF	2
Irradiation_2h	Irradiation	Irradiation_2h_2	#0066FF	#9590FF	2
Irradiation_2h	Irradiation	Irradiation_2h_1	#0066FF	#9590FF	2
Irradiation_6h	Irradiation	Irradiation_6h_1	#0066FF	#C77CFF	6
Irradiation_6h	Irradiation	Irradiation_6h_2	#0066FF	#C77CFF	6
Irradiation_6h	Irradiation	Irradiation_6h_3	#0066FF	#C77CFF	6
NR_0h	NR	NR_0h_1	#CC00FF	#E76BF3	0
NR_0h	NR	NR_0h_3	#CC00FF	#E76BF3	0
NR_0h	NR	NR_0h_2	#CC00FF	#E76BF3	0
NR_24h	NR	NR_24h_3	#CC00FF	#FA62DB	24
NR_24h	NR	NR_24h_1	#CC00FF	#FA62DB	24
NR_24h	NR	NR_24h_2	#CC00FF	#FA62DB	24
NR_2h	NR	NR_2h_2	#CC00FF	#FF62BC	2
NR_2h	NR	NR_2h_1	#CC00FF	#FF62BC	2
NR_2h	NR	NR_2h_3	#CC00FF	#FF62BC	2
NR_6h	NR	NR_6h_2	#CC00FF	#FF6A98	6
NR_6h	NR	NR_6h_3	#CC00FF	#FF6A98	6
NR_6h	NR	NR_6h_1	#CC00FF	#FF6A98	6
