"sample.group"	"dataseries"	"sampleID"	"sample.id"	"f_Condition"	"f_Genotype"	"f_Group"	"f_replicate"	"comp_1"	"comp_2"	"comp_3"	"comp_4"	"comp_5"	"comp_6"	"comp_7"	"comp_8"	"LRT_Fed_Genotype"	"LRT_Fasted_Genotype"	"original.NGS"	"original.NGS.FN"	"dataseries_color"	"NGS"	"sample.group_color"	"FASTQ"
"Fasted_KO"	"Fasted"	"CAR4509A38"	"Fasted_KO_R1"	"Fasted"	"LGYKKO"	"LGYKKO_ fasted"	"R1"	"2_Fasted"	"2_LGYKKO"	""	"2_LGYKKO_ fasted"	""	"2_LGYKKO_ fasted"	""	"1_LGYKKO_ fasted"	""	"LGYKKO_ fasted"	"/camp/stp/sequencing/outputs/babs/data/anastasioud/jack.carruthers/RN21224/primary_data/220218_A01366_0146_BH757VDMXY/fastq/CAR4509A38_S123_L002_R1_001.fastq.gz"	"CAR4509A38_S123_L002_R1_001.fastq.gz"	"#7E6E85"	"/camp/stp/babs/working/boeings/Projects/anastasioud/frederick.clasen/477_DAL_bulkRNASeq_RN21224/FASTQ_files/Fasted_KO_R1_R1.fastq.gz"	"#7CAE00"	"Fasted_KO_R1"
"Fasted_KO"	"Fasted"	"CAR4509A39"	"Fasted_KO_R2"	"Fasted"	"LGYKKO"	"LGYKKO_ fasted"	"R2"	"2_Fasted"	"2_LGYKKO"	""	"2_LGYKKO_ fasted"	""	"2_LGYKKO_ fasted"	""	"1_LGYKKO_ fasted"	""	"LGYKKO_ fasted"	"/camp/stp/sequencing/outputs/babs/data/anastasioud/jack.carruthers/RN21224/primary_data/220218_A01366_0146_BH757VDMXY/fastq/CAR4509A39_S124_L002_R1_001.fastq.gz"	"CAR4509A39_S124_L002_R1_001.fastq.gz"	"#7E6E85"	"/camp/stp/babs/working/boeings/Projects/anastasioud/frederick.clasen/477_DAL_bulkRNASeq_RN21224/FASTQ_files/Fasted_KO_R2_R1.fastq.gz"	"#7CAE00"	"Fasted_KO_R2"
"Fasted_KO"	"Fasted"	"CAR4509A40"	"Fasted_KO_R3"	"Fasted"	"LGYKKO"	"LGYKKO_ fasted"	"R3"	"2_Fasted"	"2_LGYKKO"	""	"2_LGYKKO_ fasted"	""	"2_LGYKKO_ fasted"	""	"1_LGYKKO_ fasted"	""	"LGYKKO_ fasted"	"/camp/stp/sequencing/outputs/babs/data/anastasioud/jack.carruthers/RN21224/primary_data/220218_A01366_0146_BH757VDMXY/fastq/CAR4509A40_S125_L002_R1_001.fastq.gz"	"CAR4509A40_S125_L002_R1_001.fastq.gz"	"#7E6E85"	"/camp/stp/babs/working/boeings/Projects/anastasioud/frederick.clasen/477_DAL_bulkRNASeq_RN21224/FASTQ_files/Fasted_KO_R3_R1.fastq.gz"	"#7CAE00"	"Fasted_KO_R3"
"Fasted_KO"	"Fasted"	"CAR4509A41"	"Fasted_KO_R4"	"Fasted"	"LGYKKO"	"LGYKKO_ fasted"	"R4"	"2_Fasted"	"2_LGYKKO"	""	"2_LGYKKO_ fasted"	""	"2_LGYKKO_ fasted"	""	"1_LGYKKO_ fasted"	""	"LGYKKO_ fasted"	"/camp/stp/sequencing/outputs/babs/data/anastasioud/jack.carruthers/RN21224/primary_data/220218_A01366_0146_BH757VDMXY/fastq/CAR4509A41_S126_L002_R1_001.fastq.gz"	"CAR4509A41_S126_L002_R1_001.fastq.gz"	"#7E6E85"	"/camp/stp/babs/working/boeings/Projects/anastasioud/frederick.clasen/477_DAL_bulkRNASeq_RN21224/FASTQ_files/Fasted_KO_R4_R1.fastq.gz"	"#7CAE00"	"Fasted_KO_R4"
"Fasted_WT"	"Fasted"	"CAR4509A34"	"Fasted_WT_R1"	"Fasted"	"LGYKWT"	"LGYKWT_ fasted"	"R1"	"2_Fasted"	"1_LGYKWT"	"2_LGYKWT_ fasted"	""	""	"1_LGYKWT_ fasted"	"1_LGYKWT_ fasted"	""	""	"LGYKWT_ fasted"	"/camp/stp/sequencing/outputs/babs/data/anastasioud/jack.carruthers/RN21224/primary_data/220218_A01366_0146_BH757VDMXY/fastq/CAR4509A34_S119_L002_R1_001.fastq.gz"	"CAR4509A34_S119_L002_R1_001.fastq.gz"	"#E41A1C"	"/camp/stp/babs/working/boeings/Projects/anastasioud/frederick.clasen/477_DAL_bulkRNASeq_RN21224/FASTQ_files/Fasted_WT_R1_R1.fastq.gz"	"#F8766D"	"Fasted_WT_R1"
"Fasted_WT"	"Fasted"	"CAR4509A35"	"Fasted_WT_R2"	"Fasted"	"LGYKWT"	"LGYKWT_ fasted"	"R2"	"2_Fasted"	"1_LGYKWT"	"2_LGYKWT_ fasted"	""	""	"1_LGYKWT_ fasted"	"1_LGYKWT_ fasted"	""	""	"LGYKWT_ fasted"	"/camp/stp/sequencing/outputs/babs/data/anastasioud/jack.carruthers/RN21224/primary_data/220218_A01366_0146_BH757VDMXY/fastq/CAR4509A35_S120_L002_R1_001.fastq.gz"	"CAR4509A35_S120_L002_R1_001.fastq.gz"	"#E41A1C"	"/camp/stp/babs/working/boeings/Projects/anastasioud/frederick.clasen/477_DAL_bulkRNASeq_RN21224/FASTQ_files/Fasted_WT_R2_R1.fastq.gz"	"#F8766D"	"Fasted_WT_R2"
"Fasted_WT"	"Fasted"	"CAR4509A36"	"Fasted_WT_R3"	"Fasted"	"LGYKWT"	"LGYKWT_ fasted"	"R3"	"2_Fasted"	"1_LGYKWT"	"2_LGYKWT_ fasted"	""	""	"1_LGYKWT_ fasted"	"1_LGYKWT_ fasted"	""	""	"LGYKWT_ fasted"	"/camp/stp/sequencing/outputs/babs/data/anastasioud/jack.carruthers/RN21224/primary_data/220218_A01366_0146_BH757VDMXY/fastq/CAR4509A36_S121_L002_R1_001.fastq.gz"	"CAR4509A36_S121_L002_R1_001.fastq.gz"	"#E41A1C"	"/camp/stp/babs/working/boeings/Projects/anastasioud/frederick.clasen/477_DAL_bulkRNASeq_RN21224/FASTQ_files/Fasted_WT_R3_R1.fastq.gz"	"#F8766D"	"Fasted_WT_R3"
"Fasted_WT"	"Fasted"	"CAR4509A37"	"Fasted_WT_R4"	"Fasted"	"LGYKWT"	"LGYKWT_ fasted"	"R4"	"2_Fasted"	"1_LGYKWT"	"2_LGYKWT_ fasted"	""	""	"1_LGYKWT_ fasted"	"1_LGYKWT_ fasted"	""	""	"LGYKWT_ fasted"	"/camp/stp/sequencing/outputs/babs/data/anastasioud/jack.carruthers/RN21224/primary_data/220218_A01366_0146_BH757VDMXY/fastq/CAR4509A37_S122_L002_R1_001.fastq.gz"	"CAR4509A37_S122_L002_R1_001.fastq.gz"	"#E41A1C"	"/camp/stp/babs/working/boeings/Projects/anastasioud/frederick.clasen/477_DAL_bulkRNASeq_RN21224/FASTQ_files/Fasted_WT_R4_R1.fastq.gz"	"#F8766D"	"Fasted_WT_R4"
"Fed_KO"	"Fed"	"CAR4509A42"	"Fed_KO_R1"	"Fed"	"LGYKKO"	"LGYKKO_ fed"	"R1"	"1_Fed"	"2_LGYKKO"	""	""	"2_LGYKKO_ fed"	""	"2_LGYKKO_ fed"	"2_LGYKKO_ fed"	"LGYKKO_ fed"	""	"/camp/stp/sequencing/outputs/babs/data/anastasioud/jack.carruthers/RN21224/primary_data/220218_A01366_0146_BH757VDMXY/fastq/CAR4509A42_S127_L002_R1_001.fastq.gz"	"CAR4509A42_S127_L002_R1_001.fastq.gz"	"#999999"	"/camp/stp/babs/working/boeings/Projects/anastasioud/frederick.clasen/477_DAL_bulkRNASeq_RN21224/FASTQ_files/Fed_KO_R1_R1.fastq.gz"	"#C77CFF"	"Fed_KO_R1"
"Fed_KO"	"Fed"	"CAR4509A43"	"Fed_KO_R2"	"Fed"	"LGYKKO"	"LGYKKO_ fed"	"R2"	"1_Fed"	"2_LGYKKO"	""	""	"2_LGYKKO_ fed"	""	"2_LGYKKO_ fed"	"2_LGYKKO_ fed"	"LGYKKO_ fed"	""	"/camp/stp/sequencing/outputs/babs/data/anastasioud/jack.carruthers/RN21224/primary_data/220218_A01366_0146_BH757VDMXY/fastq/CAR4509A43_S128_L002_R1_001.fastq.gz"	"CAR4509A43_S128_L002_R1_001.fastq.gz"	"#999999"	"/camp/stp/babs/working/boeings/Projects/anastasioud/frederick.clasen/477_DAL_bulkRNASeq_RN21224/FASTQ_files/Fed_KO_R2_R1.fastq.gz"	"#C77CFF"	"Fed_KO_R2"
