comparison	comparisonID	test	type	model	reducedModel	normalizeAllSamplesTogether	betaPrior
Fed_vs_Fasted	comp_1	Wald	DGE	~ condition + f_Genotype + condition:f_Genotype		FALSE	FALSE
LGYKWT_vs_LGYKKO	comp_2	Wald	DGE	~ condition + f_Condition + condition:f_Condition		FALSE	FALSE
LGYKWT_Fed_vs_LGYKWT_ fasted	comp_3	Wald	DGE	~ condition		FALSE	TRUE
LGYKWT_Fed_vs_LGYKKO_ fasted	comp_4	Wald	DGE	~ condition		FALSE	TRUE
LGYKWT_Fed_vs_LGYKKO_ fed	comp_5	Wald	DGE	~ condition		FALSE	TRUE
LGYKWT_ fasted_vs_LGYKKO_ fasted	comp_6	Wald	DGE	~ condition		FALSE	TRUE
LGYKWT_ fasted_vs_LGYKKO_ fed	comp_7	Wald	DGE	~ condition		FALSE	TRUE
LGYKKO_ fasted_vs_LGYKKO_ fed	comp_8	Wald	DGE	~ condition		FALSE	TRUE
LRT_Fed_Genotype	LRT_Fed_Genotype	LRT	LRT	~ condition	~ 1	FALSE	 
LRT_Fasted_Genotype	LRT_Fasted_Genotype	LRT	LRT	~ condition	~ 1	FALSE	 
