sampleID	original.sample.id	sample.id	timepoint	sample.group	comp_1	comp_2	comp_3	comp_4	comp_5	comp_6	comp_7	comp_8	comp_9	comp_10	comp_11	comp_12	comp_13	comp_14	comp_15	comp_16	LRT_Sample_Treatment
FRA4505A1	control_0h_1	Ctrl_0h_1	0	control_0h													2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_0h
FRA4505A2	control_0h_2	Ctrl_0h_2	0	control_0h													2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_0h
FRA4505A3	control_0h_3	Ctrl_0h_3	0	control_0h													2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_0h
FRA4505A10	control_24h_1	Ctrl_24h_1	24	control_24h	2_control_24h	2_control_24h	2_control_24h	2_control_24h									2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_0h
FRA4505A11	control_24h_2	Ctrl_24h_2	24	control_24h	2_control_24h	2_control_24h	2_control_24h	2_control_24h									2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_0h
FRA4505A12	control_24h_3	Ctrl_24h_3	24	control_24h	2_control_24h	2_control_24h	2_control_24h	2_control_24h									2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_0h
FRA4505A4	control_2h_1	Ctrl_2h_1	2	control_2h					2_control_2h	2_control_2h	2_control_2h	2_control_2h					2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_24h
FRA4505A5	control_2h_2	Ctrl_2h_2	2	control_2h					2_control_2h	2_control_2h	2_control_2h	2_control_2h					2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_24h
FRA4505A6	control_2h_3	Ctrl_2h_3	2	control_2h					2_control_2h	2_control_2h	2_control_2h	2_control_2h					2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_24h
FRA4505A7	control_6h_1	Ctrl_6h_1	6	control_6h									2_control_6h	2_control_6h	2_control_6h	2_control_6h	2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_24h
FRA4505A8	control_6h_2	Ctrl_6h_2	6	control_6h									2_control_6h	2_control_6h	2_control_6h	2_control_6h	2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_24h
FRA4505A9	control_6h_3	Ctrl_6h_3	6	control_6h									2_control_6h	2_control_6h	2_control_6h	2_control_6h	2_Ctrl	2_Ctrl	2_Ctrl	2_Ctrl	control_24h
FRA4505A13	high_fat_diet_0h_1	HighFatDiet_0h_1	0	high_fat_diet_0h													1_HighFatDiet				control_2h
FRA4505A14	high_fat_diet_0h_2	HighFatDiet_0h_2	0	high_fat_diet_0h													1_HighFatDiet				control_2h
FRA4505A15	high_fat_diet_0h_3	HighFatDiet_0h_3	0	high_fat_diet_0h													1_HighFatDiet				control_2h
FRA4505A22	high_fat_diet_24h_1	HighFatDiet_24h_1	24	high_fat_diet_24h	1_high_fat_diest_24h												1_HighFatDiet				control_2h
FRA4505A23	high_fat_diet_24h_2	HighFatDiet_24h_2	24	high_fat_diet_24h	1_high_fat_diest_24h												1_HighFatDiet				control_2h
FRA4505A24	high_fat_diet_24h_3	HighFatDiet_24h_3	24	high_fat_diet_24h	1_high_fat_diest_24h												1_HighFatDiet				control_2h
FRA4505A16	high_fat_diet_2h_1	HighFatDiet_2h_1	2	high_fat_diet_2h					1_high_fat_diest_2h								1_HighFatDiet				control_6h
FRA4505A17	high_fat_diet_2h_2	HighFatDiet_2h_2	2	high_fat_diet_2h					1_high_fat_diest_2h								1_HighFatDiet				control_6h
