"sample.group"	"dataseries"	"sample.id"
"Ctrl_0h"	"Ctrl"	"Ctrl_0h_1"
"Ctrl_0h"	"Ctrl"	"Ctrl_0h_2"
"Ctrl_0h"	"Ctrl"	"Ctrl_0h_3"
"Ctrl_24h"	"Ctrl"	"Ctrl_24h_2"
"Ctrl_24h"	"Ctrl"	"Ctrl_24h_1"
"Ctrl_24h"	"Ctrl"	"Ctrl_24h_3"
"Ctrl_2h"	"Ctrl"	"Ctrl_2h_3"
"Ctrl_2h"	"Ctrl"	"Ctrl_2h_1"
"Ctrl_2h"	"Ctrl"	"Ctrl_2h_2"
"Ctrl_6h"	"Ctrl"	"Ctrl_6h_2"
"Ctrl_6h"	"Ctrl"	"Ctrl_6h_1"
"Ctrl_6h"	"Ctrl"	"Ctrl_6h_3"
"HighFatDiet_0h"	"HighFatDiet"	"HighFatDiet_0h_1"
"HighFatDiet_0h"	"HighFatDiet"	"HighFatDiet_0h_3"
"HighFatDiet_0h"	"HighFatDiet"	"HighFatDiet_0h_2"
"HighFatDiet_24h"	"HighFatDiet"	"HighFatDiet_24h_1"
"HighFatDiet_24h"	"HighFatDiet"	"HighFatDiet_24h_3"
"HighFatDiet_24h"	"HighFatDiet"	"HighFatDiet_24h_2"
"HighFatDiet_2h"	"HighFatDiet"	"HighFatDiet_2h_2"
"HighFatDiet_2h"	"HighFatDiet"	"HighFatDiet_2h_3"
"HighFatDiet_2h"	"HighFatDiet"	"HighFatDiet_2h_1"
"HighFatDiet_6h"	"HighFatDiet"	"HighFatDiet_6h_1"
"HighFatDiet_6h"	"HighFatDiet"	"HighFatDiet_6h_2"
"HighFatDiet_6h"	"HighFatDiet"	"HighFatDiet_6h_3"
"Hypoxia_0h"	"Hypoxia"	"Hypoxia_0h_1"
"Hypoxia_0h"	"Hypoxia"	"Hypoxia_0h_2"
"Hypoxia_0h"	"Hypoxia"	"Hypoxia_0h_3"
"Hypoxia_24h"	"Hypoxia"	"Hypoxia_24h_1"
"Hypoxia_24h"	"Hypoxia"	"Hypoxia_24h_2"
"Hypoxia_24h"	"Hypoxia"	"Hypoxia_24h_3"
"Hypoxia_2h"	"Hypoxia"	"Hypoxia_2h_3"
"Hypoxia_2h"	"Hypoxia"	"Hypoxia_2h_2"
"Hypoxia_2h"	"Hypoxia"	"Hypoxia_2h_1"
"Hypoxia_6h"	"Hypoxia"	"Hypoxia_6h_3"
"Hypoxia_6h"	"Hypoxia"	"Hypoxia_6h_1"
"Hypoxia_6h"	"Hypoxia"	"Hypoxia_6h_2"
"Irradiation_0h"	"Irradiation"	"Irradiation_0h_3"
"Irradiation_0h"	"Irradiation"	"Irradiation_0h_2"
"Irradiation_0h"	"Irradiation"	"Irradiation_0h_1"
"Irradiation_24h"	"Irradiation"	"Irradiation_24h_1"
"Irradiation_24h"	"Irradiation"	"Irradiation_24h_2"
"Irradiation_24h"	"Irradiation"	"Irradiation_24h_3"
"Irradiation_2h"	"Irradiation"	"Irradiation_2h_3"
"Irradiation_2h"	"Irradiation"	"Irradiation_2h_2"
"Irradiation_2h"	"Irradiation"	"Irradiation_2h_1"
"Irradiation_6h"	"Irradiation"	"Irradiation_6h_1"
"Irradiation_6h"	"Irradiation"	"Irradiation_6h_2"
"Irradiation_6h"	"Irradiation"	"Irradiation_6h_3"
"NR_0h"	"NR"	"NR_0h_1"
"NR_0h"	"NR"	"NR_0h_3"
"NR_0h"	"NR"	"NR_0h_2"
"NR_24h"	"NR"	"NR_24h_3"
"NR_24h"	"NR"	"NR_24h_1"
"NR_24h"	"NR"	"NR_24h_2"
"NR_2h"	"NR"	"NR_2h_2"
"NR_2h"	"NR"	"NR_2h_1"
"NR_2h"	"NR"	"NR_2h_3"
"NR_6h"	"NR"	"NR_6h_2"
"NR_6h"	"NR"	"NR_6h_3"
"NR_6h"	"NR"	"NR_6h_1"
