sample.id	sampleID	sample_number	f_cell_line	f_murine_host	f_treatment	f_analysis_group	LRT_cell_line	LRT_murine_host	LRT_treatment		comp_1
InVitro_AKPTmain_A1	HUT6877A1	1	AKPT_main	In vitro	No_treatment	A	AKPT_main	In vitro	No_treatment		
InVitro_AKPTmain_A2	HUT6877A2	2	AKPT_main	In vitro	No_treatment	A	AKPT_main	In vitro	No_treatment		
InVitro_AKPTmain_A3	HUT6877A3	3	AKPT_main	In vitro	No_treatment	A	AKPT_main	In vitro	No_treatment		
InVitro_AKPTNTCsgRNA_A4	HUT6877A4	4	AKPT_NTCsgRNA	In vitro	No_treatment	B	AKPT_NTCsgRNA	In vitro	No_treatment		2_AKPT_NTCsgRNA
InVitro_AKPTNTCsgRNA_A5	HUT6877A5	5	AKPT_NTCsgRNA	In vitro	No_treatment	B	AKPT_NTCsgRNA	In vitro	No_treatment		2_AKPT_NTCsgRNA
InVitro_AKPTNTCsgRNA_A6	HUT6877A6	6	AKPT_NTCsgRNA	In vitro	No_treatment	B	AKPT_NTCsgRNA	In vitro	No_treatment		2_AKPT_NTCsgRNA
InVitro_AKPTYap1KO_A7	HUT6877A7	7	AKPT_Yap1KO	In vitro	No_treatment	C	AKPT_Yap1KO	In vitro	No_treatment		1_AKPT_Yap1KO
InVitro_AKPTYap1KO_A8	HUT6877A8	8	AKPT_Yap1KO	In vitro	No_treatment	C	AKPT_Yap1KO	In vitro	No_treatment		1_AKPT_Yap1KO
InVitro_AKPTYap1KO_A9	HUT6877A9	9	AKPT_Yap1KO	In vitro	No_treatment	C	AKPT_Yap1KO	In vitro	No_treatment		1_AKPT_Yap1KO
InVitro_AKPTWwrt1KO_A10	HUT6877A10	10	AKPT_Wwrt1KO	In vitro	No_treatment	D	AKPT_Wwrt1KO	In vitro	No_treatment		
InVitro_AKPTWwrt1KO_A11	HUT6877A11	11	AKPT_Wwrt1KO	In vitro	No_treatment	D	AKPT_Wwrt1KO	In vitro	No_treatment		
InVitro_AKPTWwrt1KO_A12	HUT6877A12	12	AKPT_Wwrt1KO	In vitro	No_treatment	D	AKPT_Wwrt1KO	In vitro	No_treatment		
InVitro_AKPTCtnnb1KO_A13	HUT6877A13	13	AKPT_Ctnnb1KO	In vitro	No_treatment	E	AKPT_Ctnnb1KO	In vitro	No_treatment		
InVitro_AKPTCtnnb1KO_A14	HUT6877A14	14	AKPT_Ctnnb1KO	In vitro	No_treatment	E	AKPT_Ctnnb1KO	In vitro	No_treatment		
InVitro_AKPTCtnnb1KO_A15	HUT6877A15	15	AKPT_Ctnnb1KO	In vitro	No_treatment	E	AKPT_Ctnnb1KO	In vitro	No_treatment		
InVitro_AKPTJak1KO_A16	HUT6877A16	16	AKPT_Jak1KO	In vitro	No_treatment	F	AKPT_Jak1KO	In vitro	No_treatment		
InVitro_AKPTJak1KO_A17	HUT6877A17	17	AKPT_Jak1KO	In vitro	No_treatment	F	AKPT_Jak1KO	In vitro	No_treatment		
InVitro_AKPTJak1KO_A18	HUT6877A18	18	AKPT_Jak1KO	In vitro	No_treatment	F	AKPT_Jak1KO	In vitro	No_treatment		
InVitro_AKPTplusPBS_A19	HUT6877A19	19	AKPT_+_PBS	In vitro	PBS	G	AKPT_+_PBS	In vitro	PBS		
InVitro_AKPTplusPBS_A20	HUT6877A20	20	AKPT_+_PBS	In vitro	PBS	G	AKPT_+_PBS	In vitro	PBS		
InVitro_AKPTplusPBS_A21	HUT6877A21	21	AKPT_+_PBS	In vitro	PNS	G	AKPT_+_PBS	In vitro	PNS		
InVitro_AKPTplusIFNb_A22	HUT6877A22	22	AKPT_+_IFNb	In vitro	IFNb	H	AKPT_+_IFNb	In vitro	IFNb		
InVitro_AKPTplusIFNb_A23	HUT6877A23	23	AKPT_+_IFNb	In vitro	IFNb	H	AKPT_+_IFNb	In vitro	IFNb		
InVitro_AKPTplusIFNb_A24	HUT6877A24	24	AKPT_+_IFNb	In vitro	IFNb	H	AKPT_+_IFNb	In vitro	IFNb		
InVitro_AKPTplusIFNg_A25	HUT6877A25	25	AKPT_+_IFNg	In vitro	IFNg	I	AKPT_+_IFNg	In vitro	IFNg		
InVitro_AKPTplusIFNg_A26	HUT6877A26	26	AKPT_+_IFNg	In vitro	IFNg	I	AKPT_+_IFNg	In vitro	IFNg		
InVitro_AKPTplusIFNg_A27	HUT6877A27	27	AKPT_+_IFNg	In vitro	IFNg	I	AKPT_+_IFNg	In vitro	IFNg		
InVitro_AKPTplusTNFa_A28	HUT6877A28	28	AKPT_+_TNFa	In vitro	TNFa	J	AKPT_+_TNFa	In vitro	TNFa		
InVitro_AKPTplusTNFa_A29	HUT6877A29	29	AKPT_+_TNFa	In vitro	TNFa	J	AKPT_+_TNFa	In vitro	TNFa		
InVitro_AKPTplusTNFa_A30	HUT6877A30	30	AKPT_+_TNFa	In vitro	TNFa	J	AKPT_+_TNFa	In vitro	TNFa		
InVitro_AKPTplusIFNgplusTNFa_A31	HUT6877A31	31	AKPT_+_IFNg_+_TNFa	In vitro	IFNg+TNFa	K	AKPT_+_IFNg_+_TNFa	In vitro	IFNg+TNFa		
InVitro_AKPTplusIFNgplusTNFa_A32	HUT6877A32	32	AKPT_+_IFNg_+_TNFa	In vitro	IFNg+TNFa	K	AKPT_+_IFNg_+_TNFa	In vitro	IFNg+TNFa		
