"sample.group"	"dataseries"	"sample.id"	"sampleID"	"sample_number"	"f_cell_line"	"f_murine_host"	"f_treatment"	"f_analysis_group"	"LRT_cell_line"	"LRT_murine_host"	"LRT_treatment"	"...11"	"comp_1"	"dataseries_color"	"sample.group_color"
"C57BL6_AKP1NTwk3"	"C57BL6"	"C57BL6_AKP1NTwk3_A69"	"HUT6877A69"	69	"AKP1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	"X"	"AKP1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#00BA38"
"C57BL6_AKP1NTwk3"	"C57BL6"	"C57BL6_AKP1NTwk3_A68"	"HUT6877A68"	68	"AKP1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	"X"	"AKP1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#00BA38"
"C57BL6_AKP1NTwk3"	"C57BL6"	"C57BL6_AKP1NTwk3_A70"	"HUT6877A70"	70	"AKP1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	"X"	"AKP1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#00BA38"
"C57BL6_AKP2NTwk4"	"C57BL6"	"C57BL6_AKP2NTwk4_A72"	"HUT6877A72"	72	"AKP2_NT_wk4"	"C57BL/6"	"No_treatment_week_3"	"Y"	"AKP2_NT_wk4"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#9DA700"
"C57BL6_AKP2NTwk4"	"C57BL6"	"C57BL6_AKP2NTwk4_A73"	"HUT6877A73"	73	"AKP2_NT_wk4"	"C57BL/6"	"No_treatment_week_3"	"Y"	"AKP2_NT_wk4"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#9DA700"
"C57BL6_AKP2NTwk4"	"C57BL6"	"C57BL6_AKP2NTwk4_A71"	"HUT6877A71"	71	"AKP2_NT_wk4"	"C57BL/6"	"No_treatment_week_3"	"Y"	"AKP2_NT_wk4"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#9DA700"
"C57BL6_AKPS1NTwk3"	"C57BL6"	"C57BL6_AKPS1NTwk3_A64"	"HUT6877A64"	64	"AKPS1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	"U"	"AKPS1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#49B500"
"C57BL6_AKPS1NTwk3"	"C57BL6"	"C57BL6_AKPS1NTwk3_A63"	"HUT6877A63"	63	"AKPS1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	"U"	"AKPS1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#49B500"
"C57BL6_AKPS1NTwk3"	"C57BL6"	"C57BL6_AKPS1NTwk3_A62"	"HUT6877A62"	62	"AKPS1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	"U"	"AKPS1_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#49B500"
"C57BL6_AKPS2NTwk3"	"C57BL6"	"C57BL6_AKPS2NTwk3_A65"	"HUT6877A65"	65	"AKPS2_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	"V"	"AKPS2_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#7CAE00"
"C57BL6_AKPS2NTwk3"	"C57BL6"	"C57BL6_AKPS2NTwk3_A67"	"HUT6877A67"	67	"AKPS2_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	"V"	"AKPS2_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#7CAE00"
"C57BL6_AKPS2NTwk3"	"C57BL6"	"C57BL6_AKPS2NTwk3_A66"	"HUT6877A66"	66	"AKPS2_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	"V"	"AKPS2_NT_wk3"	"C57BL/6"	"No_treatment_week_3"	NA	NA	"#FE9929"	"#7CAE00"
"C57BL6_AKPTB6Ctrlwk3"	"C57BL6"	"C57BL6_AKPTB6Ctrlwk3_A43"	"HUT6877A43"	43	"AKPT_B6_control_wk3"	"C57BL/6"	"Control_week_3"	"O"	"AKPT_B6_control_wk3"	"C57BL/6"	"Control_week_3"	NA	NA	"#FE9929"	"#F8766D"
"C57BL6_AKPTB6Ctrlwk3"	"C57BL6"	"C57BL6_AKPTB6Ctrlwk3_A44"	"HUT6877A44"	44	"AKPT_B6_control_wk3"	"C57BL/6"	"Control_week_3"	"O"	"AKPT_B6_control_wk3"	"C57BL/6"	"Control_week_3"	NA	NA	"#FE9929"	"#F8766D"
"C57BL6_AKPTB6Ctrlwk3"	"C57BL6"	"C57BL6_AKPTB6Ctrlwk3_A45"	"HUT6877A45"	45	"AKPT_B6_control_wk3"	"C57BL/6"	"Control_week_3"	"O"	"AKPT_B6_control_wk3"	"C57BL/6"	"Control_week_3"	NA	NA	"#FE9929"	"#F8766D"
"C57BL6_AKPTB6ICBwk4"	"C57BL6"	"C57BL6_AKPTB6ICBwk4_A49"	"HUT6877A49"	49	"AKPT_B6_ICB_wk4"	"C57BL/6"	"aPD1+aCTLA4_week_4"	"Q"	"AKPT_B6_ICB_wk4"	"C57BL/6"	"aPD1+aCTLA4_week_4"	NA	NA	"#FE9929"	"#DE8C00"
"C57BL6_AKPTB6ICBwk4"	"C57BL6"	"C57BL6_AKPTB6ICBwk4_A50"	"HUT6877A50"	50	"AKPT_B6_ICB_wk4"	"C57BL/6"	"aPD1+aCTLA4_week_4"	"Q"	"AKPT_B6_ICB_wk4"	"C57BL/6"	"aPD1+aCTLA4_week_4"	NA	NA	"#FE9929"	"#DE8C00"
"C57BL6_AKPTB6ICBwk4"	"C57BL6"	"C57BL6_AKPTB6ICBwk4_A51"	"HUT6877A51"	51	"AKPT_B6_ICB_wk4"	"C57BL/6"	"aPD1+aCTLA4_week_4"	"Q"	"AKPT_B6_ICB_wk4"	"C57BL/6"	"aPD1+aCTLA4_week_4"	NA	NA	"#FE9929"	"#DE8C00"
