"sample.group"	"dataseries"	"sampleID"	"original.sample.id"	"sample.id"	"timepoint"	"comp_1"	"comp_2"	"comp_3"	"comp_4"	"comp_5"	"comp_6"	"comp_7"	"comp_8"	"LRT_Sample_Treatment"	"original.NGS"	"original.NGS.FN"	"NGS"	"LRT_timepoint"	"dataseries_color"	"f_replicate"	"f_timepoint"	"FASTQ"	"sample.group_color"
"Ctrl_0h"	"Ctrl"	"FRA4505A1"	"control_0h_1"	"Ctrl_0h_1"	0	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A1_R1.fastq.gz"	"FRA4505A1_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_0h_1_R1.fastq.gz"	0	"#FF0000"	"1"	"T0"	"Ctrl_0h_1"	"#F8766D"
"Ctrl_0h"	"Ctrl"	"FRA4505A1"	"control_0h_1"	"Ctrl_0h_1"	0	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A1_R2.fastq.gz"	"FRA4505A1_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_0h_1_R2.fastq.gz"	0	"#FF0000"	"1"	"T0"	"Ctrl_0h_1"	"#F8766D"
"Ctrl_0h"	"Ctrl"	"FRA4505A2"	"control_0h_2"	"Ctrl_0h_2"	0	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A2_R1.fastq.gz"	"FRA4505A2_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_0h_2_R1.fastq.gz"	0	"#FF0000"	"2"	"T0"	"Ctrl_0h_2"	"#F8766D"
"Ctrl_0h"	"Ctrl"	"FRA4505A3"	"control_0h_3"	"Ctrl_0h_3"	0	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A3_R2.fastq.gz"	"FRA4505A3_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_0h_3_R2.fastq.gz"	0	"#FF0000"	"3"	"T0"	"Ctrl_0h_3"	"#F8766D"
"Ctrl_0h"	"Ctrl"	"FRA4505A3"	"control_0h_3"	"Ctrl_0h_3"	0	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A3_R1.fastq.gz"	"FRA4505A3_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_0h_3_R1.fastq.gz"	0	"#FF0000"	"3"	"T0"	"Ctrl_0h_3"	"#F8766D"
"Ctrl_0h"	"Ctrl"	"FRA4505A2"	"control_0h_2"	"Ctrl_0h_2"	0	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A2_R2.fastq.gz"	"FRA4505A2_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_0h_2_R2.fastq.gz"	0	"#FF0000"	"2"	"T0"	"Ctrl_0h_2"	"#F8766D"
"Ctrl_24h"	"Ctrl"	"FRA4505A11"	"control_24h_2"	"Ctrl_24h_2"	24	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A11_R2.fastq.gz"	"FRA4505A11_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_24h_2_R2.fastq.gz"	24	"#FF0000"	"2"	"T24"	"Ctrl_24h_2"	"#D89000"
"Ctrl_24h"	"Ctrl"	"FRA4505A10"	"control_24h_1"	"Ctrl_24h_1"	24	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A10_R2.fastq.gz"	"FRA4505A10_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_24h_1_R2.fastq.gz"	24	"#FF0000"	"1"	"T24"	"Ctrl_24h_1"	"#D89000"
"Ctrl_24h"	"Ctrl"	"FRA4505A12"	"control_24h_3"	"Ctrl_24h_3"	24	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A12_R2.fastq.gz"	"FRA4505A12_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_24h_3_R2.fastq.gz"	24	"#FF0000"	"3"	"T24"	"Ctrl_24h_3"	"#D89000"
"Ctrl_24h"	"Ctrl"	"FRA4505A12"	"control_24h_3"	"Ctrl_24h_3"	24	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_control_24h"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_0h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A12_R1.fastq.gz"	"FRA4505A12_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_24h_3_R1.fastq.gz"	24	"#FF0000"	"3"	"T24"	"Ctrl_24h_3"	"#D89000"
