"comparison"	"comparisonID"	"test"	"type"	"model"	"reducedModel"	"normalizeAllSamplesTogether"	"betaPrior"
"H3_12h_wt_vs_H3_12h_Dectin"	"comp_1"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_2h_wt_vs_H3_2h_Dectin"	"comp_2"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Hyphae_12h_wt_vs_H3_Hyphae_12h_Dectin"	"comp_3"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Hyphae_2h_wt_vs_H3_Hyphae_2h_Dectin"	"comp_4"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_12h_wt_vs_Hyphae_12h_Dectin"	"comp_5"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_2h_wt_vs_Hyphae_2h_Dectin"	"comp_6"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"LPS_12h_wt_vs_LPS_12h_Dectin"	"comp_7"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"LPS_2h_wt_vs_LPS_2h_Dectin"	"comp_8"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"LPS_Hyphae_12h_wt_vs_LPS_Hyphae_12h_Dectin"	"comp_9"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"LPS_Hyphae_2h_wt_vs_LPS_Hyphae_2h_Dectin"	"comp_10"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Naive_12h_wt_vs_Naive_12h_Dectin"	"comp_11"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Naive_2h_wt_vs_Naive_2h_Dectin"	"comp_12"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_2h_Dectin_vs_H3_12h_Dectin"	"comp_13"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Hyphae_2h_Dectin_vs_H3_Hyphae_12h_Dectin"	"comp_14"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Hyphae_2h_wt_vs_H3_Hyphae_12h_wt"	"comp_15"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_2h_wt_vs_H3_12h_wt"	"comp_16"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Yeast_2h_wt_vs_H3_Yeast_12h_wt"	"comp_17"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_2h_Dectin_vs_Hyphae_12h_Dectin"	"comp_18"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_2h_wt_vs_Hyphae_12h_wt"	"comp_19"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"LPS_2h_Dectin_vs_LPS_12h_Dectin"	"comp_20"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"LPS_Hyphae_2h_Dectin_vs_LPS_Hyphae_12h_Dectin"	"comp_21"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"LPS_Hyphae_2h_wt_vs_LPS_Hyphae_12h_wt"	"comp_22"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"LPS_2h_wt_vs_LPS_12h_wt"	"comp_23"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"LPS_Yeast_2h_wt_vs_LPS_Yeast_12h_wt"	"comp_24"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Naive_2h_Dectin_vs_Naive_12h_Dectin"	"comp_25"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Naive_2h_wt_vs_Naive_12h_wt"	"comp_26"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Yeast_2h_wt_vs_Yeast_12h_wt"	"comp_27"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Hyphae_12h_Dectin_vs_H3_12h_Dectin"	"comp_28"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Hyphae_12h_wt_vs_H3_12h_wt"	"comp_29"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Hyphae_2h_Dectin_vs_H3_2h_Dectin"	"comp_30"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Hyphae_2h_wt_vs_H3_2h_wt"	"comp_31"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Yeast_12h_wt_vs_H3_12h_wt"	"comp_32"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Yeast_2h_wt_vs_H3_2h_wt"	"comp_33"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Yeast_12h_wt_vs_H3_Hyphae_12h_wt"	"comp_34"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"H3_Yeast_2h_wt_vs_H3_Hyphae_2h_wt"	"comp_35"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_12h_Dectin_vs_H3_12h_Dectin"	"comp_36"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_12h_wt_vs_H3_12h_wt"	"comp_37"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_2h_Dectin_vs_H3_2h_Dectin"	"comp_38"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_2h_wt_vs_H3_2h_wt"	"comp_39"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_12h_Dectin_vs_H3_Hyphae_12h_Dectin"	"comp_40"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_12h_wt_vs_H3_Hyphae_12h_wt"	"comp_41"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_2h_Dectin_vs_H3_Hyphae_2h_Dectin"	"comp_42"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_2h_wt_vs_H3_Hyphae_2h_wt"	"comp_43"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_12h_wt_vs_H3_Yeast_12h_wt"	"comp_44"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
"Hyphae_2h_wt_vs_H3_Yeast_2h_wt"	"comp_45"	"Wald"	"DGE"	"~ condition"	""	FALSE	"TRUE"
