dataseries	sampleID	sample.id	original.NGS	sample.group	dataseries_color	NGS	FASTQ	comp_1	comp_2	comp_3	comp_4
S	PRO451A1	S_EnGliaCtrl_1	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A1_S31_L004_R1_001.fastq.gz	S_EnGliaCtrl	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnGliaCtrl_1_R1.fastq.gz	S_EnGliaCtrl_1	1_EnGliaCtrl		2_EnGliaCtrl	
S	PRO451A2	S_EnGliaCtrl_2	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A2_S32_L004_R1_001.fastq.gz	S_EnGliaCtrl	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnGliaCtrl_2_R1.fastq.gz	S_EnGliaCtrl_2	1_EnGliaCtrl		2_EnGliaCtrl	
S	PRO451A3	S_EnGliaCtrl_3	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A3_S33_L004_R1_001.fastq.gz	S_EnGliaCtrl	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnGliaCtrl_3_R1.fastq.gz	S_EnGliaCtrl_3	1_EnGliaCtrl		2_EnGliaCtrl	
S	PRO451A12	S_EnGliaCtrl_4	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/180718_K00102_0232_BHWFJJBBXX/fastq/PRO451A12_S41_L005_R1_001.fastq.gz	S_EnGliaCtrl	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnGliaCtrl_4_R1.fastq.gz	S_EnGliaCtrl_4	1_EnGliaCtrl		2_EnGliaCtrl	
S	PRO451A7	S_EnGliaInf_1	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A7_S37_L004_R1_001.fastq.gz	S_EnGliaInf	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnGliaInf_1_R1.fastq.gz	S_EnGliaInf_1		1_EnGliaInf	1_EnGliaInf	
S	PRO451A8	S_EnGliaInf_2	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A8_S38_L004_R1_001.fastq.gz	S_EnGliaInf	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnGliaInf_2_R1.fastq.gz	S_EnGliaInf_2		1_EnGliaInf	1_EnGliaInf	
S	PRO451A9	S_EnGliaInf_3	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A9_S39_L004_R1_001.fastq.gz	S_EnGliaInf	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnGliaInf_3_R1.fastq.gz	S_EnGliaInf_3		1_EnGliaInf	1_EnGliaInf	
S	PRO451A16	S_EnGliaInf_5	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/180718_K00102_0232_BHWFJJBBXX/fastq/PRO451A16_S45_L005_R1_001.fastq.gz	S_EnGliaInf	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnGliaInf_5_R1.fastq.gz	S_EnGliaInf_5		1_EnGliaInf	1_EnGliaInf	
S	PRO451A4	S_EnNonGliaCtrl_1	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A4_S34_L004_R1_001.fastq.gz	S_EnNonGliaCtrl	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnNonGliaCtrl_1_R1.fastq.gz	S_EnNonGliaCtrl_1	2_EnNonGliaCtrl			2_EnNonGliaCtrl
S	PRO451A5	S_EnNonGliaCtrl_2	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A5_S35_L004_R1_001.fastq.gz	S_EnNonGliaCtrl	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnNonGliaCtrl_2_R1.fastq.gz	S_EnNonGliaCtrl_2	2_EnNonGliaCtrl			2_EnNonGliaCtrl
S	PRO451A6	S_EnNonGliaCtrl_3	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A6_S36_L004_R1_001.fastq.gz	S_EnNonGliaCtrl	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnNonGliaCtrl_3_R1.fastq.gz	S_EnNonGliaCtrl_3	2_EnNonGliaCtrl			2_EnNonGliaCtrl
S	PRO451A13	S_EnNonGliaCtrl_4	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/180718_K00102_0232_BHWFJJBBXX/fastq/PRO451A13_S42_L005_R1_001.fastq.gz	S_EnNonGliaCtrl	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnNonGliaCtrl_4_R1.fastq.gz	S_EnNonGliaCtrl_4	2_EnNonGliaCtrl			2_EnNonGliaCtrl
S	PRO451A10	S_EnNonGliaInf_1	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A10_S40_L004_R1_001.fastq.gz	S_EnNonGliaInf	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnNonGliaInf_1_R1.fastq.gz	S_EnNonGliaInf_1		2_EnNonGliaInf		1_EnNonGliaInf
S	PRO451A11	S_EnNonGliaInf_2	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/170915_D00446_0256_ACBEBTANXX/fastq/PRO451A11_S41_L004_R1_001.fastq.gz	S_EnNonGliaInf	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnNonGliaInf_2_R1.fastq.gz	S_EnNonGliaInf_2		2_EnNonGliaInf		1_EnNonGliaInf
S	PRO451A15	S_EnNonGliaInf_3	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/180718_K00102_0232_BHWFJJBBXX/fastq/PRO451A15_S44_L005_R1_001.fastq.gz	S_EnNonGliaInf	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnNonGliaInf_3_R1.fastq.gz	S_EnNonGliaInf_3		2_EnNonGliaInf		1_EnNonGliaInf
S	PRO451A17	S_EnNonGliaInf_4	/camp/stp/babs/working/escudem/projects/pachnisv/Progatzky_080617/180718_K00102_0232_BHWFJJBBXX/fastq/PRO451A17_S46_L005_R1_001.fastq.gz	S_EnNonGliaInf	green	/camp/stp/babs/working/boeings/Projects/pachnisv/franze.progatzky/209_vpl_fp_RNAseq_inflammatory_enteric_glia_cell_characterization/FASTQ_files/S_EnNonGliaInf_4_R1.fastq.gz	S_EnNonGliaInf_4		2_EnNonGliaInf		1_EnNonGliaInf
